handle,packageName
okonkwo,jest-config
nakamura,jest-util
oyelaran,once
hoshino,once
sokolova,once
devora,inherits
haddad,camelcase
devora,camelcase
mbaye,y18n
nakamura,y18n
hoshino,set-blocking
quintero,os-locale
haddad,minimatch
devora,minimatch
vasquez,minimatch
oyelaran,yargs-parser
petrov,cliui
lindqvist,callsites
haddad,which-module
devora,which-module
vasquez,which-module
kowalski,read-pkg-up
sokolova,color-convert
singh,expand-range
quintero,expand-range
quintero,jest-get-type
ferreira,jest-get-type
kowalski,jest-get-type
oyelaran,jest-environment-jsdom
hoshino,jest-environment-jsdom
sokolova,jest-environment-jsdom
haddad,lcid
devora,lcid
vasquez,lcid
petrov,filename-regex
ferreira,brace-expansion
devora,regex-cache
aritra,parse-glob
quintero,arr-diff
ferreira,arr-diff
kowalski,arr-diff
vasquez,is-number
aritra,concat-map
oyelaran,concat-map
hoshino,concat-map
nakamura,balanced-match
sokolova,has-color
petrov,has-color
mbaye,has-color
okonkwo,find-up
singh,wrap-ansi
oyelaran,read-pkg
tanaka,jsdom
ren,jsdom
aritra,jsdom
tanaka,path-exists
ren,path-exists
aritra,path-exists
oyelaran,parse5
aritra,iconv-lite
oyelaran,iconv-lite
hoshino,iconv-lite
okonkwo,whatwg-url
haddad,whatwg-url
mbaye,escodegen
hoshino,request
lindqvist,inflight
tanaka,inflight
okonkwo,path-is-absolute
aritra,for-own
oyelaran,for-own
hoshino,for-own
hoshino,isobject
sokolova,isobject
okonkwo,acorn
haddad,acorn
ren,string-width
hoshino,unixify
sokolova,unixify
petrov,require-directory
mbaye,require-directory
kowalski,pretty-format
quintero,arr-union
singh,jest-mock
quintero,jest-mock
ilyas,jest-regex-util
singh,decamelize
haddad,get-caller-file
devora,get-caller-file
singh,jest-validate
vasquez,array-unique
kowalski,invert-kv
okonkwo,invert-kv
lindqvist,estraverse
tanaka,estraverse
kowalski,code-point-at
okonkwo,code-point-at
haddad,code-point-at
haddad,is-fullwidth-code-point
aritra,underscore
oyelaran,underscore
kowalski,jest-message-util
okonkwo,jest-message-util
hoshino,right-align
sokolova,right-align
petrov,right-align
hoshino,center-align
sokolova,center-align
mbaye,repeat-string
vasquez,jest-resolve
novak,jest-resolve
ilyas,jest-resolve
hoshino,benchmarked
ren,array-slice
quintero,glob-path-regex
ferreira,glob-path-regex
kowalski,glob-path-regex
ferreira,pinkie-promise
kowalski,pinkie-promise
okonkwo,pinkie-promise
mbaye,jest-environment-node
ferreira,load-json-file
kowalski,load-json-file
ren,cssom
aritra,cssom
quintero,normalize-package-data
ferreira,normalize-package-data
vasquez,array-equal
novak,array-equal
ilyas,array-equal
quintero,nwmatcher
ferreira,nwmatcher
kowalski,nwmatcher
petrov,abab
mbaye,abab
ilyas,webidl-conversions
novak,for-in
quintero,is-builtin-module
devora,extend-shallow
vasquez,extend-shallow
novak,extend-shallow
mbaye,sax
aritra,tr46
oyelaran,tr46
oyelaran,cssstyle
hoshino,cssstyle
ilyas,jest-jasmine2
lindqvist,jest-jasmine2
ren,parse-json
aritra,parse-json
devora,builtin-modules
ferreira,tough-cookie
lindqvist,p-cancelable
tanaka,p-cancelable
hoshino,jest-snapshot
oyelaran,natural-compare
sokolova,leven
petrov,leven
mbaye,leven
sokolova,benchmark
petrov,benchmark
sokolova,number-is-nan
novak,browser-resolve
vasquez,align-text
novak,align-text
novak,ansi
ilyas,ansi
lindqvist,ansi
okonkwo,file-reader
haddad,file-reader
devora,file-reader
ren,hosted-git-info
tanaka,strip-bom
novak,mixin-object
okonkwo,acorn-globals
aritra,semver
nakamura,jest-matcher-utils
haddad,xml-name-validator
devora,xml-name-validator
petrov,symbol-tree
mbaye,symbol-tree
nakamura,symbol-tree
novak,expect
singh,jest-diff
quintero,jest-diff
ferreira,jest-diff
lindqvist,diff
tanaka,diff
ren,diff
ferreira,longest
kowalski,longest
okonkwo,longest
tanaka,resolve
sokolova,map-files
petrov,map-files
mbaye,map-files
mbaye,fs-utils
nakamura,fs-utils
singh,fs-utils
quintero,require-main-filename
ferreira,require-main-filename
kowalski,require-main-filename
lindqvist,worker-farm
ren,ansi-escapes
mbaye,xtend
nakamura,xtend
singh,xtend
vasquez,jest-runner
novak,jest-runner
ilyas,jest-runner
novak,jest-changed-files
okonkwo,string-length
sokolova,node-notifier
ferreira,errno
kowalski,errno
okonkwo,errno
aritra,throat
quintero,istanbul-api
ferreira,istanbul-api
kowalski,istanbul-api
sokolova,jest-runtime
haddad,jest-haste-map
devora,jest-haste-map
okonkwo,js-yaml
haddad,js-yaml
devora,js-yaml
nakamura,lodash
nakamura,istanbul-lib-instrument
singh,istanbul-lib-instrument
haddad,argparse
mbaye,babel-jest
vasquez,babel-template
kowalski,babel-types
okonkwo,babel-types
singh,babel-generator
petrov,jest-docblock
mbaye,jest-docblock
nakamura,jest-docblock
vasquez,esutils
novak,esutils
ren,babel-runtime
quintero,babel-preset-jest
ferreira,babel-preset-jest
kowalski,babel-preset-jest
tanaka,to-fast-properties
ren,to-fast-properties
kowalski,repeating
okonkwo,repeating
haddad,repeating
vasquez,detect-indent
petrov,trim-right
mbaye,babel-messages
nakamura,babel-messages
aritra,get-stdin
oyelaran,shellwords
devora,growly
singh,istanbul-lib-report
quintero,istanbul-lib-report
ferreira,istanbul-lib-report
vasquez,istanbul-lib-coverage
novak,istanbul-lib-coverage
ilyas,istanbul-lib-coverage
tanaka,istanbul-lib-hook
ren,istanbul-lib-hook
devora,meow
okonkwo,core-js
ferreira,istanbul-lib-source-maps
kowalski,istanbul-lib-source-maps
tanaka,fileset
ren,fileset
aritra,fileset
oyelaran,istanbul-reports
tanaka,babel-core
haddad,path-parse
devora,path-parse
sokolova,babylon
petrov,rimraf
mbaye,rimraf
ren,babel-traverse
hoshino,sane
haddad,fb-watchman
devora,fb-watchman
ferreira,convert-source-map
petrov,babel-code-frame
novak,handlebars
ilyas,handlebars
lindqvist,handlebars
quintero,invariant
quintero,anymatch
ferreira,anymatch
kowalski,anymatch
nakamura,globals
oyelaran,bser
okonkwo,underscore.string
haddad,underscore.string
vasquez,babel-plugin-istanbul
novak,babel-plugin-istanbul
ilyas,babel-plugin-istanbul
vasquez,fsevents
haddad,is-integer
novak,test-exclude
okonkwo,lru-cache
novak,node-pre-gyp
ilyas,node-pre-gyp
hoshino,nan
vasquez,is-finite
novak,is-finite
ilyas,is-finite
kowalski,arrify
okonkwo,arrify
oyelaran,object-assign
hoshino,object-assign
sokolova,object-assign
quintero,babel-plugin-jest-hoist
singh,tar
quintero,tar
aritra,append-transform
oyelaran,append-transform
haddad,babel-helpers
haddad,exec-sh
devora,exec-sh
vasquez,exec-sh
devora,watch
sokolova,walker
devora,uglify-to-browserify
vasquez,line-numbers
novak,line-numbers
ilyas,line-numbers
mbaye,sigmund
okonkwo,has-ansi
haddad,has-ansi
devora,has-ansi
quintero,js-tokens
devora,node-int64
vasquez,node-int64
novak,node-int64
mbaye,npmlog
nakamura,npmlog
haddad,nopt
haddad,makeerror
devora,makeerror
vasquez,makeerror
mbaye,merge
nakamura,merge
devora,left-pad
petrov,home-or-tmp
petrov,shebang-regex
mbaye,shebang-regex
nakamura,shebang-regex
tanaka,private
hoshino,source-map-support
sokolova,source-map-support
aritra,os-tmpdir
oyelaran,os-tmpdir
kowalski,regenerator
okonkwo,regenerator
haddad,user-home
kowalski,ast-types
okonkwo,recast
haddad,recast
devora,recast
petrov,mocha
mbaye,mocha
nakamura,mocha
haddad,growl
kowalski,browserify
okonkwo,browserify
ren,whiskey
aritra,whiskey
quintero,jade
tanaka,duplexer
petrov,syntax-error
kowalski,through
petrov,JSONStream
ferreira,browser-pack
ren,module-deps
aritra,insert-module-globals
petrov,write-file-atomic
mbaye,write-file-atomic
nakamura,write-file-atomic
kowalski,imurmurhash
okonkwo,imurmurhash
nakamura,json-stable-stringify
sokolova,jsonify
petrov,jsonify
mbaye,jsonify
ferreira,slide
kowalski,slide
okonkwo,slide
kowalski,jest-resolve-dependencies
lindqvist,eslint
haddad,levn
kowalski,ignore
okonkwo,ignore
sokolova,espree
petrov,espree
singh,prelude-ls
quintero,prelude-ls
ilyas,acorn-jsx
lindqvist,acorn-jsx
ilyas,table
lindqvist,table
tanaka,table
aritra,escope
oyelaran,escope
hoshino,escope
mbaye,type-check
vasquez,esrecurse
aritra,es6-weak-map
oyelaran,d
hoshino,d
sokolova,d
novak,es6-iterator
ilyas,es6-iterator
lindqvist,es6-iterator
oyelaran,ansi-slice
hoshino,ansi-slice
quintero,tv4
ferreira,tv4
kowalski,tv4
vasquez,es6-map
novak,es6-map
ren,bluebird
aritra,bluebird
oyelaran,bluebird
hoshino,xregexp
mbaye,es6-set
vasquez,time-uuid
devora,es5-ext
petrov,es6-symbol
haddad,splice-string
vasquez,event-emitter
ilyas,microtime-x
lindqvist,microtime-x
tanaka,microtime-x
kowalski,microtime
okonkwo,microtime
mbaye,shelljs
nakamura,progress
quintero,doctrine
novak,pluralize
sokolova,os-homedir
quintero,optionator
ferreira,optionator
sokolova,inquirer
aritra,isarray
oyelaran,isarray
ren,deep-is
oyelaran,text-table
ren,levenshtein-damerau
aritra,levenshtein-damerau
oyelaran,levenshtein-damerau
ferreira,wordwrap
kowalski,wordwrap
okonkwo,charm
mbaye,strip-json-comments
singh,require-uncached
vasquez,resolve-from
novak,resolve-from
singh,caller-path
quintero,caller-path
ferreira,caller-path
petrov,concat-stream
mbaye,concat-stream
nakamura,concat-stream
quintero,file-entry-cache
aritra,is-my-json-valid
haddad,is-resolvable
quintero,path-is-inside
novak,jsonpointer
ilyas,jsonpointer
kowalski,generate-object-property
vasquez,flat-cache
ferreira,generate-function
kowalski,tryit
haddad,write
singh,read-json-sync
quintero,read-json-sync
okonkwo,react-scripts
haddad,react-scripts
devora,react-scripts
vasquez,run-async
novak,run-async
oyelaran,dotenv
nakamura,mute-stream
ilyas,cli-width
ren,cli-cursor
aritra,cli-cursor
okonkwo,lodash.assign
haddad,lodash.assign
singh,figures
quintero,figures
ferreira,figures
tanaka,readdirp
ren,readdirp
aritra,readdirp
devora,glob-parent
singh,is-binary-path
quintero,is-binary-path
tanaka,async-each
singh,is-promise
novak,ajv
ilyas,ajv
haddad,restore-cursor
devora,restore-cursor
ferreira,lodash.keys
kowalski,lodash.keys
lindqvist,binary-extensions
vasquez,co
novak,co
haddad,onetime
novak,signal-exit
mbaye,mimic-fn
haddad,json-loader
devora,fs-extra
vasquez,fs-extra
ren,promise
aritra,promise
novak,window-size
ilyas,window-size
vasquez,promise-resolver
aritra,universalify
petrov,jsonfile
mbaye,jsonfile
nakamura,jsonfile
hoshino,p-map
hoshino,jest-matchers
novak,rx
ren,css-loader
aritra,css-loader
ilyas,lodash.rest
hoshino,csso
ren,lodash._createassigner
kowalski,lodash._baseassign
haddad,readable-stream
mbaye,lodash._isiterateecall
nakamura,lodash._isiterateecall
singh,lodash._isiterateecall
vasquez,lodash.isarguments
novak,lodash.isarguments
ilyas,lodash.isarguments
lindqvist,acorn-dynamic-import
oyelaran,ajv-keywords
hoshino,ajv-keywords
devora,url
vasquez,url
devora,loader-runner
vasquez,loader-runner
novak,loader-runner
kowalski,assert
mbaye,string_decoder
nakamura,string_decoder
singh,string_decoder
mbaye,events
quintero,punycode
aritra,buffer
devora,webpack-sources
vasquez,webpack-sources
novak,webpack-sources
sokolova,in-publish
petrov,in-publish
mbaye,in-publish
nakamura,domain-browser
singh,domain-browser
ren,source-list-map
aritra,source-list-map
oyelaran,source-list-map
singh,ieee754
quintero,ieee754
mbaye,asap
nakamura,asap
singh,asap
okonkwo,nextback
haddad,nextback
devora,nextback
sokolova,external-editor
hoshino,tmp
sokolova,tmp
petrov,tmp
haddad,extend
devora,extend
vasquez,extend
oyelaran,lodash._basecopy
hoshino,lodash._basecopy
sokolova,lodash._basecopy
haddad,lodash.isnative
haddad,json-stream
nakamura,lodash._bindcallback
sokolova,lodash.support
petrov,lodash.support
kowalski,lodash.isarray
okonkwo,lodash.isarray
haddad,lodash.isarray
devora,util
ren,os-browserify
kowalski,stream-http
okonkwo,process
haddad,process
nakamura,builtin-status-codes
ren,querystring
aritra,events.node
oyelaran,events.node
kowalski,https-browserify
ilyas,stream-browserify
lindqvist,stream-browserify
tanaka,stream-browserify
okonkwo,core-util-is
sokolova,constants-browserify
petrov,constants-browserify
quintero,tty-browserify
ferreira,ripemd160
kowalski,ripemd160
sokolova,querystring-es3
kowalski,sha.js
vasquez,util-deprecate
ferreira,process-nextick-args
ilyas,path-browserify
ilyas,timers-browserify
lindqvist,timers-browserify
hoshino,browserify-zlib
sokolova,browserify-zlib
ilyas,convert-string
lindqvist,convert-string
sokolova,convert-hex
nakamura,native-buffer-browserify
novak,pako
ilyas,pako
lindqvist,pako
aritra,setimmediate
oyelaran,setimmediate
ren,style-loader
quintero,whatwg-fetch
aritra,cross-spawn
oyelaran,cross-spawn
hoshino,cross-spawn
hoshino,postcss-loader
hoshino,yallist
sokolova,yallist
petrov,yallist
okonkwo,file-loader
vasquez,autoprefixer
novak,autoprefixer
ilyas,autoprefixer
nakamura,schema-utils
lindqvist,postcss-load-config
tanaka,postcss-load-config
ren,postcss-load-config
kowalski,big.js
okonkwo,big.js
haddad,big.js
novak,postcss
aritra,normalize-range
devora,postcss-value-parser
vasquez,postcss-value-parser
petrov,browserslist
sokolova,fast-json-stable-stringify
vasquez,json-schema-traverse
aritra,fast-deep-equal
tanaka,cosmiconfig
tanaka,babel-loader
sokolova,babel-eslint
oyelaran,url-loader
oyelaran,path-type
hoshino,path-type
sokolova,path-type
hoshino,import-fresh
sokolova,import-fresh
nakamura,json-parse-better-errors
singh,json-parse-better-errors
quintero,json-parse-better-errors
vasquez,error-ex
kowalski,yaml
novak,eslint-loader
ilyas,eslint-loader
sokolova,@babel/code-frame
oyelaran,caniuse-lite
hoshino,caniuse-lite
sokolova,caniuse-lite
mbaye,raw-loader
nakamura,raw-loader
singh,raw-loader
haddad,pseudomap
ren,emojis-list
ilyas,num2fraction
tanaka,lines-and-columns
kowalski,find-cache-dir
okonkwo,find-cache-dir
okonkwo,import-cwd
haddad,import-cwd
devora,import-cwd
devora,parent-module
novak,pkg-dir
ilyas,pkg-dir
mbaye,lodash.pickby
nakamura,lodash.pickby
okonkwo,commondir
haddad,commondir
ren,common-dir
ilyas,electron-to-chromium
lindqvist,electron-to-chromium
tanaka,electron-to-chromium
tanaka,@types/parse-json
sokolova,import-from
petrov,import-from
novak,@babel/highlight
ren,lodash.hasin
aritra,lodash.hasin
okonkwo,lodash.topairs
haddad,lodash.topairs
vasquez,lodash._baseisequal
novak,lodash._baseisequal
devora,lodash.get
singh,lodash._baseismatch
quintero,lodash._baseismatch
ferreira,lodash._baseismatch
haddad,lodash.keysin
ren,lodash._basefor
aritra,lodash._basefor
tanaka,wodge
oyelaran,lodash._stack
okonkwo,lodash._arraymap
tanaka,lodash._baseslice
vasquez,lodash._mapcache
novak,lodash._mapcache
devora,babel-preset-react-app
singh,react-dev-utils
aritra,eslint-plugin-react
sokolova,eslint-plugin-import
petrov,eslint-plugin-import
novak,babel-plugin-syntax-dynamic-import
petrov,babel-plugin-transform-object-rest-spread
mbaye,babel-plugin-transform-object-rest-spread
oyelaran,babel-plugin-transform-class-properties
kowalski,babel-plugin-transform-regenerator
nakamura,html-webpack-plugin
singh,html-webpack-plugin
singh,contains-path
kowalski,shell-quote
singh,eslint-import-resolver-node
sokolova,eslint-module-utils
hoshino,jsx-ast-utils
nakamura,html-entities
singh,html-entities
ilyas,eslint-plugin-flowtype
kowalski,react-error-overlay
okonkwo,react-error-overlay
kowalski,eslint-config-react-app
haddad,webpack-manifest-plugin
devora,babel-plugin-transform-react-jsx
ferreira,babel-plugin-transform-runtime
haddad,postcss-flexbugs-fixes
devora,postcss-flexbugs-fixes
vasquez,postcss-flexbugs-fixes
aritra,webpack-dev-server
oyelaran,webpack-dev-server
petrov,babel-plugin-transform-react-jsx-self
novak,babel-plugin-transform-react-constant-elements
haddad,babel-preset-react
devora,babel-preset-react
vasquez,babel-preset-react
lindqvist,babel-preset-env
tanaka,babel-preset-env
ren,babel-preset-env
hoshino,eslint-plugin-jsx-a11y
sokolova,eslint-plugin-jsx-a11y
vasquez,opn
okonkwo,babel-plugin-transform-react-jsx-source
hoshino,babel-plugin-dynamic-import-node
sokolova,babel-plugin-dynamic-import-node
petrov,babel-plugin-dynamic-import-node
aritra,address
quintero,sockjs-client
ferreira,sockjs-client
okonkwo,anser
haddad,anser
kowalski,filesize
okonkwo,filesize
ferreira,sockjs
kowalski,sockjs
mbaye,compression
ferreira,portfinder
oyelaran,utils-merge
hoshino,utils-merge
oyelaran,escape-html
hoshino,escape-html
aritra,lodash.cond
petrov,parseurl
mbaye,parseurl
nakamura,parseurl
ren,pkg-up
singh,damerau-levenshtein
quintero,damerau-levenshtein
ferreira,damerau-levenshtein
ilyas,babel-plugin-syntax-object-rest-spread
lindqvist,babel-plugin-syntax-object-rest-spread
novak,babel-plugin-syntax-trailing-function-commas
novak,babel-plugin-transform-es2015-computed-properties
ferreira,accepts
tanaka,type-is
ren,type-is
aritra,type-is
nakamura,gzip-size
singh,gzip-size
quintero,gzip-size
ilyas,babel-plugin-transform-flow-strip-types
nakamura,babel-plugin-transform-es2015-destructuring
ferreira,aria-query
ferreira,html-minifier
tanaka,is-wsl
lindqvist,babel-plugin-transform-es2015-function-name
ferreira,babel-plugin-transform-es2015-arrow-functions
kowalski,babel-plugin-transform-es2015-arrow-functions
okonkwo,babel-plugin-transform-es2015-arrow-functions
oyelaran,babel-plugin-syntax-class-properties
oyelaran,emoji-regex
hoshino,emoji-regex
nakamura,has
singh,has
quintero,has
haddad,faye-websocket
devora,faye-websocket
devora,eventsource
devora,negotiator
vasquez,negotiator
aritra,jquery
oyelaran,jquery
hoshino,jquery
lindqvist,serve-static
tanaka,serve-static
lindqvist,path-to-regexp
novak,compressible
ilyas,compressible
devora,settle-promise
vasquez,settle-promise
nakamura,babel-helper-builder-react-jsx
hoshino,serve-index
sokolova,serve-index
petrov,serve-index
mbaye,babel-plugin-syntax-jsx
nakamura,babel-plugin-syntax-jsx
singh,babel-plugin-syntax-jsx
okonkwo,babel-plugin-transform-es2015-block-scoped-functions
haddad,babel-plugin-transform-es2015-block-scoped-functions
singh,babel-plugin-transform-es2015-block-scoping
novak,ast-types-flow
ilyas,babel-plugin-transform-es2015-duplicate-keys
lindqvist,babel-plugin-transform-es2015-duplicate-keys
tanaka,babel-plugin-transform-es2015-duplicate-keys
oyelaran,axobject-query
ilyas,babel-plugin-syntax-flow
lindqvist,babel-plugin-syntax-flow
tanaka,babel-plugin-syntax-flow
quintero,babel-plugin-transform-es2015-for-of
ferreira,babel-plugin-transform-es2015-for-of
kowalski,babel-plugin-transform-es2015-for-of
sokolova,babel-plugin-check-es2015-constants
novak,babel-plugin-transform-es2015-classes
ilyas,babel-plugin-transform-es2015-classes
lindqvist,babel-plugin-transform-es2015-classes
nakamura,url-parse
ilyas,node-uuid
oyelaran,coffee-script
petrov,spdy
mbaye,spdy
nakamura,spdy
ilyas,bytes
kowalski,pinkie
tanaka,json3
nakamura,babel-plugin-transform-async-to-generator
singh,babel-plugin-transform-async-to-generator
sokolova,requires-port
petrov,requires-port
mbaye,babel-helper-replace-supers
nakamura,babel-helper-replace-supers
singh,babel-helper-replace-supers
ren,babel-helper-define-map
quintero,htmlparser
oyelaran,mjsunit.runner
hoshino,mjsunit.runner
sokolova,mjsunit.runner
haddad,babel-helper-function-name
okonkwo,babel-helper-remap-async-to-generator
haddad,babel-helper-remap-async-to-generator
devora,babel-helper-remap-async-to-generator
tanaka,batch
kowalski,querystringify
okonkwo,querystringify
kowalski,spdy-transport
okonkwo,spdy-transport
haddad,spdy-transport
nakamura,babel-plugin-syntax-async-functions
singh,babel-plugin-syntax-async-functions
vasquez,babel-helper-optimise-call-expression
novak,babel-helper-optimise-call-expression
haddad,handle-thing
ilyas,select-hose
ren,http-deceiver
lindqvist,babel-helper-get-function-arity
tanaka,babel-helper-get-function-arity
ren,babel-helper-get-function-arity
vasquez,babel-plugin-transform-es2015-modules-systemjs
novak,babel-plugin-transform-es2015-modules-systemjs
ilyas,babel-plugin-transform-es2015-modules-systemjs
devora,babel-plugin-transform-es2015-modules-commonjs
vasquez,babel-plugin-transform-es2015-modules-commonjs
hoshino,babel-plugin-transform-es2015-typeof-symbol
sokolova,babel-plugin-transform-es2015-typeof-symbol
tanaka,babel-plugin-transform-es2015-sticky-regex
ren,babel-plugin-transform-es2015-sticky-regex
aritra,babel-plugin-transform-es2015-sticky-regex
novak,babel-plugin-transform-es2015-object-super
ilyas,babel-plugin-transform-es2015-object-super
lindqvist,babel-plugin-transform-es2015-object-super
ren,fast-list
aritra,should
hoshino,stack-frame-parser
sokolova,stack-frame-parser
petrov,stack-frame-parser
okonkwo,stack-frame-mapper
kowalski,recursive-readdir
okonkwo,recursive-readdir
haddad,recursive-readdir
petrov,stack-frame-unmapper
mbaye,stack-frame-unmapper
nakamura,stack-frame-unmapper
kowalski,obuf
lindqvist,wbuf
tanaka,wbuf
ren,wbuf
kowalski,hpack.js
okonkwo,http-proxy-middleware
haddad,http-proxy-middleware
devora,http-proxy-middleware
novak,babel-plugin-transform-es2015-parameters
okonkwo,babel-plugin-transform-es2015-shorthand-properties
haddad,babel-plugin-transform-es2015-shorthand-properties
devora,babel-plugin-transform-es2015-shorthand-properties
nakamura,webpack-dev-middleware
haddad,babel-plugin-transform-es2015-modules-umd
novak,babel-plugin-transform-es2015-modules-amd
quintero,babel-plugin-transform-es2015-literals
petrov,babel-plugin-transform-es2015-spread
mbaye,babel-plugin-transform-es2015-spread
nakamura,babel-plugin-transform-es2015-spread
novak,babel-plugin-transform-es2015-template-literals
vasquez,babel-helper-call-delegate
kowalski,babel-helper-regex
singh,babel-helper-hoist-variables
novak,babel-plugin-transform-es2015-unicode-regex
ilyas,babel-plugin-transform-es2015-unicode-regex
aritra,stack-frame
ren,stack-frame-utils
sokolova,connect-history-api-fallback
petrov,connect-history-api-fallback
mbaye,connect-history-api-fallback
hoshino,@timer/detect-port
ilyas,babel-plugin-transform-exponentiation-operator
lindqvist,babel-plugin-transform-exponentiation-operator
tanaka,babel-plugin-transform-exponentiation-operator
okonkwo,regexpu
devora,regjsgen
novak,regenerate
ilyas,regenerate
lindqvist,regenerate
petrov,regjsparser
mbaye,regjsparser
haddad,caniuse-db
devora,caniuse-db
okonkwo,babel-helper-builder-binary-assignment-operator-visitor
nakamura,babel-plugin-syntax-exponentiation-operator
vasquez,babel-helper-explode-assignable-expression
okonkwo,jsesc
okonkwo,extract-text-webpack-plugin
novak,case-sensitive-paths-webpack-plugin
ilyas,case-sensitive-paths-webpack-plugin
lindqvist,case-sensitive-paths-webpack-plugin
kowalski,sw-precache-webpack-plugin
okonkwo,sw-precache-webpack-plugin
singh,sw-precache
petrov,indent-string
ren,pretty-bytes
aritra,pretty-bytes
oyelaran,pretty-bytes
vasquez,es6-promise
novak,es6-promise
ilyas,es6-promise
hoshino,camelcase-keys
aritra,map-obj
oyelaran,map-obj
hoshino,map-obj
quintero,dom-urls
lindqvist,lodash.defaults
ilyas,lodash.template
lindqvist,lodash.template
vasquez,sw-toolbox
devora,lodash._reinterpolate
tanaka,lodash.templatesettings
oyelaran,lodash.escape
hoshino,lodash.escape
sokolova,lodash.escape
lindqvist,URIjs
kowalski,lodash.assigninwith
okonkwo,lodash.assigninwith
kowalski,serviceworker-cache-polyfill
vasquez,lodash.reevaluate
okonkwo,lodash.reinterpolate
aritra,lodash.reescape
sokolova,lodash._basetostring
nakamura,next
singh,next
ren,etag
aritra,etag
tanaka,normalize-path
ren,normalize-path
aritra,normalize-path
okonkwo,fill-range
devora,p-limit
lindqvist,raw-body
oyelaran,picomatch
lindqvist,colorette
tanaka,colorette
hoshino,nanoid
sokolova,nanoid
petrov,nanoid
ren,line-column
lindqvist,is-extglob
hoshino,p-try
sokolova,p-try
petrov,p-try
petrov,to-regex-range
mbaye,to-regex-range
aritra,node.extend
oyelaran,node.extend
sokolova,sharp
nakamura,object-keys
singh,object-keys
sokolova,is
petrov,is
mbaye,is
petrov,react-is
mbaye,react-is
nakamura,react-is
petrov,@next/env
okonkwo,node-fetch
petrov,node-releases
singh,jest-worker
petrov,@babel/runtime
mbaye,@babel/runtime
ferreira,regenerator-runtime
nakamura,component-indexof
tanaka,glob-to-regexp
ren,glob-to-regexp
haddad,prop-types
lindqvist,styled-jsx
aritra,native-url
oyelaran,native-url
novak,merge-stream
ilyas,merge-stream
quintero,react-refresh
ferreira,react-refresh
haddad,stylis
devora,stylis
petrov,fbjs
mbaye,fbjs
nakamura,fbjs
devora,stylis-rule-sheet
okonkwo,string-hash
haddad,string-hash
mbaye,@hapi/accept
lindqvist,@hapi/boom
hoshino,@hapi/hoek
lindqvist,locate-path
petrov,make-dir
ren,@opentelemetry/api
aritra,@opentelemetry/api
oyelaran,@opentelemetry/api
ferreira,p-locate
kowalski,p-locate
okonkwo,p-locate
tanaka,buffer-shims
kowalski,cssnano-simple
okonkwo,cssnano-simple
singh,node-html-parser
hoshino,pnp-webpack-plugin
kowalski,entities
okonkwo,entities
tanaka,cssnano-preset-simple
nakamura,use-subscription
petrov,@next/react-dev-overlay
tanaka,color-name
ren,color-name
hoshino,@next/polyfill-module
sokolova,@next/polyfill-module
petrov,@next/polyfill-module
novak,data-uri-to-buffer
ilyas,data-uri-to-buffer
lindqvist,data-uri-to-buffer
aritra,classnames
oyelaran,classnames
tanaka,stacktrace-parser
ren,stacktrace-parser
devora,buffer-from
vasquez,buffer-from
ilyas,ally.js
lindqvist,ally.js
